-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2012 through 12/31/2012 in LST
Location: latitude  45.75   longitude 126.63 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 139.04 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M_MAX     MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN     MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
YEAR,DOY,T2M_MAX,T2M_MIN
2012,1,-15.81,-23.21
2012,2,-14.13,-24.12
2012,3,-14.12,-21.3
2012,4,-14.57,-22.44
2012,5,-13.04,-22.03
2012,6,-13.32,-21.95
2012,7,-11.47,-22.24
2012,8,-11.54,-22.39
2012,9,-14.61,-23.97
2012,10,-16.56,-24.13
2012,11,-17.31,-26.94
2012,12,-13.43,-22.82
2012,13,-15.39,-24.37
2012,14,-14.78,-21.41
2012,15,-12.09,-22.33
2012,16,-9.8,-20.18
2012,17,-10.78,-22.31
2012,18,-10.83,-20.08
2012,19,-8.63,-16.44
2012,20,-11.49,-17.9
2012,21,-15.94,-22.18
2012,22,-18.35,-25.35
2012,23,-17.56,-26.18
2012,24,-17.04,-26.22
2012,25,-15.87,-27.76
2012,26,-15.61,-25.81
2012,27,-15.12,-26.47
2012,28,-14.97,-27.05
2012,29,-16.29,-28.08
2012,30,-16.59,-28.29
2012,31,-16.68,-28.43
2012,32,-16.39,-29.39
2012,33,-16.03,-28.79
2012,34,-12.8,-25.78
2012,35,-9.73,-24.27
2012,36,-5.21,-19.95
2012,37,-9.58,-15.59
2012,38,-14.08,-23.52
2012,39,-12.25,-22.52
2012,40,-11.1,-20.28
2012,41,-12.39,-23.21
2012,42,-12.96,-21.88
2012,43,-8.25,-24.43
2012,44,-5.05,-16.41
2012,45,-12.46,-19.14
2012,46,-9.66,-22.85
2012,47,-12.49,-21.93
2012,48,-11.43,-21.97
2012,49,-7.9,-20.29
2012,50,-6.33,-17.08
2012,51,-10.06,-19.99
2012,52,-8.03,-23.1
2012,53,-6.38,-15.44
2012,54,-5.91,-19.18
2012,55,-5.63,-17.33
2012,56,-6.42,-15.38
2012,57,-7.69,-19.53
