Area,Year,Item,Element,Unit,Value
Germany,1961,Raw milk of buffalo,Production,t,
Germany,1961,Raw milk of cattle,Production,t,24796400.0
Germany,1961,Raw milk of goats,Production,t,457000.0
Germany,1961,Raw milk of sheep,Production,t,
Germany,1961,Rice,Production,t,
Germany,1961,Rye,Production,t,4019138.0
Germany,1961,"Sheep fat, unrendered",Production,t,1927.08
Germany,1961,"Shorn wool, greasy, including fleece-washed shorn wool",Production,t,12000.0
Germany,1961,Skim milk and whey powder,Production,t,103702.0
Germany,1961,Skim milk of cows,Production,t,14356399.0
Germany,1961,"Skim milk, evaporated",Production,t,7400.0
Germany,1961,Sour cherries,Production,t,119140.0
Germany,1961,Soya bean oil,Production,t,187938.0
Germany,1961,Soya beans,Production,t,0.0
Germany,1961,Spinach,Production,t,72700.0
Germany,1961,Strawberries,Production,t,27146.0
Germany,1961,Sugar beet,Production,t,14286746.0
Germany,1961,Sunflower seed,Production,t,0.0
Germany,1961,"Sunflower-seed oil, crude",Production,t,26500.0
Germany,1961,Tallow,Production,t,49655.51
Germany,1961,"Tangerines, mandarins, clementines",Production,t,
Germany,1961,Tomatoes,Production,t,63345.0
Germany,1961,Triticale,Production,t,0.0
Germany,1961,"True hemp, raw or retted",Production,t,1190.0
Germany,1961,Unmanufactured tobacco,Production,t,13210.0
Germany,1961,Vetches,Production,t,10379.0
Germany,1961,"Walnuts, in shell",Production,t,5448.0
Germany,1961,Watermelons,Production,t,
Germany,1961,Wheat,Production,t,5076707.0
Germany,1961,"Whey, condensed",Production,t,0.0
Germany,1961,"Whey, dry",Production,t,40000.0
Germany,1961,Whole milk powder,Production,t,31700.0
Germany,1961,"Whole milk, condensed",Production,t,0.0
Germany,1961,"Whole milk, evaporated",Production,t,404947.0
Germany,1961,Wine,Production,t,358700.0
Germany,1961,Yams,Production,t,
Germany,1961,Yoghurt,Production,t,0.0
Germany,1961,"Beef and Buffalo Meat, primary",Production,t,1296200.0
Germany,1961,Butter and Ghee,Production,t,633900.0
Germany,1961,"Cereals, primary",Production,t,17257340.0
Germany,1961,Cheese (All Kinds),Production,t,419600.0
Germany,1961,"Citrus Fruit, Total",Production,t,
Germany,1961,Eggs Primary,Production,t,675300.0
Germany,1961,Evaporated & Condensed Milk,Production,t,412347.0
Germany,1961,"Fibre Crops, Fibre Equivalent",Production,t,9720.0
Germany,1961,Fruit Primary,Production,t,3309534.0
Germany,1961,"Meat, Poultry",Production,t,169180.0
Germany,1961,"Meat, Total",Production,t,4238328.0
Germany,1961,"Milk, Total",Production,t,25253400.0
Germany,1961,"Oilcrops, Cake Equivalent",Production,t,157949.24
Germany,1961,"Oilcrops, Oil Equivalent",Production,t,99750.01
Germany,1961,"Pulses, Total",Production,t,220376.0
Germany,1961,"Roots and Tubers, Total",Production,t,29945536.0
Germany,1961,Sheep and Goat Meat,Production,t,42648.0
Germany,1961,"Skim Milk & Buttermilk, Dry",Production,t,103702.0
Germany,1961,Sugar Crops Primary,Production,t,14286746.0
Germany,1961,"Treenuts, Total",Production,t,5533.0
Germany,1961,Vegetables Primary,Production,t,3166152.0
Italy,1961,"Almonds, in shell",Production,t,328500.0
Italy,1961,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",Production,t,200.0
Italy,1961,Apples,Production,t,2167000.0
Italy,1961,Apricots,Production,t,60000.0
Italy,1961,Artichokes,Production,t,416900.0
Italy,1961,Asparagus,Production,t,30700.0
Italy,1961,Avocados,Production,t,
Italy,1961,Bananas,Production,t,700.0
Italy,1961,Barley,Production,t,278700.0
Italy,1961,"Beans, dry",Production,t,187500.0
Italy,1961,"Beer of barley, malted",Production,t,342000.0
Italy,1961,Beeswax,Production,t,60.0
Italy,1961,Blueberries,Production,t,525.0
Italy,1961,"Broad beans and horse beans, dry",Production,t,387700.0
Italy,1961,"Broad beans and horse beans, green",Production,t,109000.0
Italy,1961,"Buffalo fat, unrendered",Production,t,9.39
Italy,1961,Butter of cow milk,Production,t,70800.0
Italy,1961,"Buttermilk, dry",Production,t,
Italy,1961,Cabbages,Production,t,810500.0
Italy,1961,Cantaloupes and other melons,Production,t,239600.0
Italy,1961,Carrots and turnips,Production,t,133400.0
Italy,1961,Castor oil seeds,Production,t,6.0
Italy,1961,"Cattle fat, unrendered",Production,t,29400.0
Italy,1961,Cauliflowers and broccoli,Production,t,656500.0
Italy,1961,Cereals n.e.c.,Production,t,25000.0
Italy,1961,"Cheese from milk of buffalo, fresh or processed",Production,t,1549.45
Italy,1961,"Cheese from milk of goats, fresh or processed",Production,t,7239.0
Italy,1961,"Cheese from milk of sheep, fresh or processed",Production,t,59268.8
Italy,1961,Cheese from skimmed cow milk,Production,t,0.0
Italy,1961,Cheese from whole cow milk,Production,t,312900.0
Italy,1961,Cherries,Production,t,202500.0
Italy,1961,"Chestnuts, in shell",Production,t,123854.0
Italy,1961,"Chick peas, dry",Production,t,41500.0
Italy,1961,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",Production,t,231100.0
Italy,1961,Coconut oil,Production,t,12250.0
Italy,1961,"Cotton lint, ginned",Production,t,5310.0
Italy,1961,Cotton seed,Production,t,8590.0
Italy,1961,Cottonseed oil,Production,t,1100.0
Italy,1961,"Cream, fresh",Production,t,11700.0
Italy,1961,Cucumbers and gherkins,Production,t,54000.0
Italy,1961,Currants,Production,t,100.0
Italy,1961,"Edible offal of buffalo, fresh, chilled or frozen",Production,t,28.57
Italy,1961,"Edible offal of cattle, fresh, chilled or frozen",Production,t,69800.0
Italy,1961,"Edible offal of goat, fresh, chilled or frozen",Production,t,265.0
Italy,1961,"Edible offal of pigs, fresh, chilled or frozen",Production,t,27400.0
Italy,1961,"Edible offal of sheep, fresh, chilled or frozen",Production,t,2500.0
Italy,1961,"Edible offals of horses and other equines,  fresh, chilled or frozen",Production,t,3000.0
Italy,1961,Eggplants (aubergines),Production,t,208200.0
Italy,1961,Fat of pigs,Production,t,9900.0
Italy,1961,Figs,Production,t,319100.0
Italy,1961,"Flax, raw or retted",Production,t,500.0
Italy,1961,"Goat fat, unrendered",Production,t,152.73
Italy,1961,Grapes,Production,t,8467000.0
Italy,1961,Green garlic,Production,t,57400.0
